Número de Pedido;Fecha de venta;Producto;Operador;Región;Cantidad vendida;Ingreso;Tipo de venta
317286;04/03/2024;optimize granular paradigms;35;Reino Unido;11;16988;fría
548425;06/03/2024;deliver world-class niches;21;US;2;4286;fría
339138;18/06/2024;engage cutting-edge info-mediaries;30;DE;12;62716;caliente
311190;10/06/2024;revolutionize enterprise users;6;Alemania;19;105244;caliente
462323;18/05/2024;re-contextualize synergistic relationships;34,12;IT;11;57458;caliente
542592;07/06/2024;empower synergistic e-commerce;60,52;Reino Unido;18;32546;caliente
188327;18/01/2024;extend bricks-and-clicks relationships;10;IN;5;38242;fría
945250;16/05/2024;incubate seamless platforms;49;United States;10;97344;fría
450832;11/01/2024;repurpose B2B niches;50,29;España;7;29767;fría
292993;17/06/2024;reinvent impactful e-markets;5,36;Reino Unido;19;112103;caliente
474316;01/06/2024;seize innovative vortals;9,54;JP;18;31311;fría
771932;08/03/2024;re-intermediate visionary platforms;15;Francia;12;41003;caliente
883523;30/04/2024;visualize 24/365 models;49;UK;18;49044;fría
636024;11/05/2024;optimize leading-edge applications;24;FR;7;53587;caliente
177453;20/03/2024;embrace cross-platform info-mediaries;42,21;UK;10;91319;fría
666805;13/02/2024;drive cross-platform initiatives;53,1;Italia;14;17112;fría
578417;26/05/2024;strategize viral models;59;China;8;47708;fría
884525;09/05/2024;grow holistic paradigms;8;España;12;93955;caliente
345464;08/06/2024;scale robust users;39;Francia;4;34973;fría
225115;04/04/2024;redefine vertical niches;33;United States;19;86112;caliente
945297;28/02/2024;innovate back-end applications;47;India;13;35842;caliente
105001;01/02/2024;aggregate compelling web-readiness;55;Alemania;10;33705;caliente
222903;25/05/2024;productize e-business users;45;UK;2;13645;caliente
129497;20/04/2024;morph interactive action-items;27;India;8;36108;caliente
145149;08/04/2024;whiteboard out-of-the-box networks;29;Reino Unido;15;142931;caliente
605294;25/01/2024;architect enterprise markets;38,12;DE;17;135305;fría
990322;09/01/2024;utilize holistic infrastructures;44;ES;12;40037;caliente
955334;10/03/2024;extend user-centric niches;46;España;18;48961;caliente
557239;12/01/2024;visualize 24/365 eyeballs;55;España;11;55548;caliente
187002;02/02/2024;integrate rich markets;21;IN;1;1161;fría
529965;05/01/2024;harness innovative deliverables;25,54;BR;14;89247;fría
736870;22/03/2024;re-contextualize cutting-edge architectures;55;Alemania;14;85255;fría
860843;24/05/2024;target collaborative metrics;36;US;4;10873;caliente
609062;09/01/2024;engineer innovative supply-chains;47;Reino Unido;7;5632;caliente
696717;20/05/2024;expedite scalable users;24;Francia;4;16879;caliente
784838;10/06/2024;utilize virtual info-mediaries;9,4;JP;16;129334;fría
585757;09/03/2024;exploit impactful web services;55;BR;14;139526;caliente
991362;02/06/2024;transition seamless architectures;14;Japón;11;103402;fría
863803;29/05/2024;leverage B2B markets;51,24;JP;20;125289;caliente
476139;06/03/2024;synergize world-class e-tailers;33;España;20;79915;caliente
546801;29/03/2024;streamline user-centric e-services;32,6;Reino Unido;14;99288;fría
558794;08/02/2024;grow frictionless eyeballs;51,3;Francia;12;97443;caliente
884258;16/04/2024;incentivize one-to-one solutions;28,24;ES;17;36006;fría
971127;20/03/2024;engage cutting-edge e-services;49;China;8;19153;caliente
714176;10/05/2024;evolve front-end synergies;6;Italia;10;34812;fría
393294;21/04/2024;streamline viral action-items;33;BR;14;133099;fría
259461;22/01/2024;embrace frictionless content;43,19;United States;19;84458;fría
984929;15/03/2024;leverage distributed mindshare;6;IT;1;1402;caliente
135755;31/05/2024;grow cutting-edge schemas;19;India;8;61953;caliente
153543;20/03/2024;aggregate customized solutions;49;Reino Unido;11;91086;fría
316090;02/04/2024;generate granular communities;34,14;Japón;5;30908;fría
724596;10/02/2024;re-contextualize intuitive e-business;58;DE;11;17244;fría
795487;29/05/2024;seize out-of-the-box niches;57,41;España;11;79187;caliente
846524;04/02/2024;syndicate killer interfaces;40,27;ES;8;21836;fría
772004;04/02/2024;benchmark frictionless markets;33;China;4;17662;caliente
358654;11/04/2024;evolve leading-edge infrastructures;17,29;United States;9;67212;caliente
182737;06/01/2024;reinvent ubiquitous experiences;47;China;4;16908;caliente
830131;15/02/2024;generate sticky experiences;47;BR;11;47856;fría
361735;27/02/2024;benchmark turn-key applications;1;FR;9;80502;caliente
283500;14/06/2024;whiteboard 24/7 supply-chains;8;China;16;123794;fría
436477;11/03/2024;repurpose interactive e-business;3,1;Japón;9;62567;caliente
337167;21/02/2024;deploy sticky systems;9,8;India;11;19882;fría
523484;23/06/2024;envisioneer integrated systems;22,1;Italia;17;22827;caliente
614603;03/07/2024;e-enable transparent e-services;26,3;Japón;10;61416;fría
267775;08/01/2024;repurpose web-enabled experiences;16,29;Japón;7;14927;fría
728067;03/06/2024;exploit out-of-the-box interfaces;10;FR;11;77811;fría
107351;01/01/2024;harness integrated portals;59;CN;6;45625;fría
188306;23/05/2024;strategize mission-critical web services;58;CN;16;76471;caliente
506993;02/02/2024;engage dynamic supply-chains;27;DE;12;35993;fría
289458;08/01/2024;integrate collaborative web services;10;US;5;38826;fría
853235;28/06/2024;engineer cross-platform deliverables;9,31;DE;9;21533;fría
226710;23/06/2024;brand transparent systems;40,46;JP;6;44399;caliente
724683;19/05/2024;implement collaborative content;36;Francia;11;53182;caliente
617887;27/04/2024;architect robust solutions;47;China;7;18135;fría
575422;07/03/2024;enhance global schemas;6;India;14;75497;fría
771947;02/07/2024;expedite strategic models;32,52;China;2;4239;fría
332780;12/04/2024;drive wireless methodologies;28,54;Francia;8;71248;fría
478492;21/05/2024;matrix bleeding-edge e-tailers;49;US;14;75479;caliente
988184;17/01/2024;exploit innovative ROI;58;United States;11;108387;caliente
253720;14/06/2024;mesh proactive networks;40,33;United States;11;17036;fría
996046;07/01/2024;e-enable robust solutions;38,33;España;13;14774;fría
867190;23/05/2024;synergize B2C bandwidth;53,19;United States;17;36402;caliente
488962;08/03/2024;orchestrate revolutionary models;34,55;ES;16;133414;caliente
205965;05/01/2024;deliver efficient e-business;37,31;JP;5;47588;fría
247036;23/04/2024;deliver strategic models;28,46;Francia;7;17661;caliente
922720;07/06/2024;evolve strategic portals;41;Alemania;17;142579;caliente
431715;12/06/2024;transition strategic channels;24;Alemania;3;3518;fría
764319;08/01/2024;scale global paradigms;11,54;IN;11;40641;fría
906399;02/04/2024;matrix innovative applications;48,14;FR;17;140899;caliente
185361;02/07/2024;syndicate integrated e-business;33;India;2;19308;caliente
465428;13/03/2024;mesh B2B metrics;5,54;Japón;14;5649;caliente
367083;16/01/2024;synergize enterprise synergies;7,14;JP;5;19616;caliente
535262;27/01/2024;maximize e-business metrics;15;ES;5;22481;caliente
485808;09/06/2024;seize end-to-end e-markets;37,52;IT;10;11706;caliente
898191;28/06/2024;revolutionize transparent info-mediaries;8;JP;6;37756;caliente
432061;29/03/2024;architect one-to-one technologies;49;ES;20;177604;fría
512979;19/04/2024;drive world-class bandwidth;54;Italia;4;12377;fría
739991;30/03/2024;whiteboard web-enabled relationships;6;India;10;55612;caliente
111257;01/07/2024;drive e-business convergence;11,6;España;15;136335;caliente
768999;30/04/2024;facilitate revolutionary ROI;23,59;UK;1;8301;fría
437993;27/04/2024;facilitate bricks-and-clicks initiatives;37,52;Reino Unido;7;19737;caliente
707791;11/02/2024;brand collaborative niches;12;UK;10;93771;fría
429361;25/04/2024;deploy cross-media communities;59;Alemania;13;109444;fría
426235;18/03/2024;synthesize synergistic e-commerce;25,4;DE;18;16387;fría
874757;07/05/2024;generate impactful supply-chains;41;IN;6;33158;caliente
810408;01/03/2024;orchestrate front-end architectures;11,47;China;19;89007;fría
161333;18/06/2024;cultivate best-of-breed synergies;14;FR;19;127874;caliente
635916;04/05/2024;implement turn-key e-markets;6;Brasil;8;45127;caliente
329846;23/05/2024;monetize rich paradigms;49;CN;4;32923;caliente
729603;26/05/2024;evolve compelling methodologies;55;Italia;2;18795;caliente
123245;15/04/2024;target magnetic web services;55;Japón;11;65251;caliente
466330;27/05/2024;integrate user-centric vortals;39;IT;18;7049;fría
815197;09/06/2024;streamline extensible e-markets;45;JP;2;4391;fría
140775;08/05/2024;architect back-end mindshare;17,1;US;9;57913;caliente
874928;31/03/2024;iterate integrated technologies;10;India;1;5538;caliente
